"ámbitos territoriales","año de nacimiento","sexo","2025/01/01"
"Arrasate/Mondragón","1936","Total",129
"Arrasate/Mondragón","1935","Total",92
"Arrasate/Mondragón","1934","Total",95
"Arrasate/Mondragón","1933","Total",74
"Arrasate/Mondragón","1932","Total",47
"Arrasate/Mondragón","1931","Total",53
"Arrasate/Mondragón","1930","Total",39
"Arrasate/Mondragón","1929","Total",24
"Arrasate/Mondragón","1928","Total",25
"Arrasate/Mondragón","1927","Total",10
"Arrasate/Mondragón","1926","Total",11
"Arrasate/Mondragón","1925","Total",13
"Arrasate/Mondragón","1924","Total",3
"Arrasate/Mondragón","1923","Total",2
"Arrasate/Mondragón","1922","Total",0
"Arrasate/Mondragón","1921","Total",1
"Arrasate/Mondragón","1920","Total",0
"Arrasate/Mondragón","1919","Total",0
"Arrasate/Mondragón","1918","Total",0
"Arrasate/Mondragón","1917","Total",0
"Arrasate/Mondragón","1916","Total",0
"Arrasate/Mondragón","1915","Total",0
"Arrasate/Mondragón","1914","Total",0
"Arrasate/Mondragón","1913","Total",0
"Arrasate/Mondragón","1912","Total",0
"Arrasate/Mondragón","1911","Total",0
"Arrasate/Mondragón","1910","Total",0
"Arrasate/Mondragón","1909","Total",0
"Arrasate/Mondragón","1908","Total",0
"Arrasate/Mondragón","1907","Total",0
"Arrasate/Mondragón","1906","Total",0
"Arrasate/Mondragón","1905","Total",0
"Arrasate/Mondragón","1904","Total",0
"Arrasate/Mondragón","1903","Total",0
"Arrasate/Mondragón","1902","Total",0
"Arrasate/Mondragón","1901","Total",0
"Arrasate/Mondragón","1900","Total",0
"Arrasate/Mondragón","1899","Total",0
"Arrasate/Mondragón","1898","Total",0
"Arrasate/Mondragón","1897","Total",0
"Arrasate/Mondragón","1896","Total",0
"Arrasate/Mondragón","<= 1895","Total",0
"Asteasu","1949","Total",16
"Asteasu","1948","Total",13
"Asteasu","1947","Total",8
"Asteasu","1946","Total",11
"Asteasu","1945","Total",13
"Asteasu","1944","Total",7
"Asteasu","1943","Total",10
"Asteasu","1942","Total",7
"Asteasu","1941","Total",7
"Asteasu","1940","Total",5
"Asteasu","1939","Total",6
"Asteasu","1938","Total",4
